"Player","League","Age","wi_star","Salary","SimpPos","PTS","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","fpcBball"
"Caleb Martin","NBA",27,5.69512195121951,6479000,"F",9.6,71,49,29.3,3.6,7.7,0.464,1.2,3.3,0.356,2.4,4.4,0.545,1.3,1.6,0.805,1.2,3.6,4.8,1.6,1,0.4,1.1,2,635
"Onyeka Okongwu","NBA",22,5.69512195121951,6395160,"C",9.9,80,18,23.1,4,6.2,0.638,0.1,0.2,0.308,3.9,6.1,0.647,1.9,2.5,0.781,2.7,4.5,7.2,1,0.7,1.3,1,3.1,635
"Killian Hayes","NBA",21,5.69512195121951,5837760,"G",10.3,76,56,28.3,4,10.7,0.377,1.1,3.8,0.28,3,7,0.429,1.2,1.5,0.821,0.4,2.5,2.9,6.2,1.4,0.4,2.3,2.9,635
"JaVale McGee","NBA",35,5.69512195121951,5461219,"C",4.4,42,7,8.5,1.9,3,0.64,0,0.1,0.4,1.9,2.9,0.65,0.6,1,0.585,0.7,1.8,2.5,0.3,0.1,0.6,0.9,1.3,635
"Goga Bitadze","NBA",23,5.69512195121951,5377520,"C",4.4,38,1,12,1.8,3.3,0.552,0.2,0.7,0.231,1.7,2.6,0.636,0.6,1.1,0.548,1.6,2,3.6,1,0.4,0.7,0.6,1.7,635
"Donte DiVincenzo","NBA",26,5.69512195121951,4500000,"G",9.4,72,36,26.3,3.3,7.5,0.435,2.1,5.3,0.397,1.2,2.3,0.525,0.8,1,0.817,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,635
"James Bouknight","NBA",22,5.69512195121951,4362240,"G",5.6,34,0,15.1,2,5.7,0.358,1,3.2,0.303,1.1,2.5,0.429,0.6,0.9,0.667,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,635
"Jalen Williams","NBA",21,5.69512195121951,4341480,"G",14.1,75,62,30.3,5.5,10.6,0.521,1,2.7,0.356,4.5,7.9,0.579,2.1,2.5,0.812,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5,635
"Grant Williams","NBA",24,5.69512195121951,4306281,"F",8.1,79,23,25.9,2.7,6,0.454,1.5,3.7,0.395,1.3,2.3,0.546,1.2,1.5,0.77,1.1,3.5,4.6,1.7,0.5,0.4,1,2.4,635
"Darius Bazley","NBA",22,5.69512195121951,4264628,"C",5.2,43,1,14.3,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3,0.485,0.9,1.6,0.543,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1,635
"Nassir Little","NBA",22,5.69512195121951,4171548,"F",6.6,54,4,18.1,2.5,5.6,0.442,1.1,2.9,0.367,1.4,2.7,0.524,0.6,0.9,0.717,0.5,2.1,2.6,0.9,0.4,0.4,0.7,1.2,635
"Justise Winslow","NBA",26,5.69512195121951,4097561,"F",6.8,29,11,26.8,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.438,0.7,1,0.714,1.7,3.3,5,3.4,1,0.4,1.5,3.1,635
"Mark Williams","NBA",21,5.69512195121951,3722040,"C",9,43,17,19.3,3.7,5.8,0.637,0,0,NA,3.7,5.8,0.637,1.6,2.3,0.691,2.2,4.9,7.1,0.4,0.7,1,0.9,2.2,635
"Cole Anthony","NBA",22,5.69512195121951,3613680,"G",13,60,4,25.9,4.6,10.2,0.454,1.3,3.4,0.364,3.4,6.7,0.5,2.5,2.8,0.894,0.8,4,4.8,3.9,0.6,0.5,1.5,2.6,635
"Isaiah Stewart","NBA",21,5.69512195121951,3433320,"C",11.3,50,47,28.3,3.9,8.8,0.442,1.3,4.1,0.327,2.6,4.7,0.542,2.2,3,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,635
"Sterling Brown","NBA",27,5.69512195121951,3122602,"F",0,4,0,6,0,1,0,0,0.5,0,0,0.5,0,0,0,NA,0.8,1.3,2,0.5,0.8,0,0,1,635
"Josh Green","NBA",22,5.69512195121951,3098400,"G",9.1,60,21,25.7,3.4,6.4,0.537,1.1,2.8,0.402,2.3,3.6,0.643,1.1,1.6,0.723,0.9,2.1,3,1.7,0.7,0.1,1.2,2.6,635
"Jake LaRavia","NBA",21,5.69512195121951,3047640,"F",3,35,0,11.8,1.1,2.7,0.389,0.7,2,0.338,0.4,0.7,0.542,0.2,0.3,0.778,0.5,1.3,1.8,0.6,0.3,0.1,0.5,1.4,635
"Robin Lopez","NBA",34,5.69512195121951,2905851,"C",3,37,2,8.1,1.3,2,0.64,0.1,0.1,0.5,1.2,1.9,0.648,0.4,0.5,0.778,0.6,0.8,1.4,0.5,0.1,0.2,0.7,1.2,635
"Bismack Biyombo","NBA",30,5.69512195121951,2905851,"C",4.3,61,14,14.3,2,3.4,0.578,0,0,NA,2,3.4,0.578,0.4,1.1,0.357,1.5,2.8,4.3,0.9,0.3,1.4,0.8,1.9,635
"Jalen Johnson","NBA",21,5.69512195121951,2792640,"F",5.6,70,6,14.9,2.3,4.6,0.491,0.4,1.5,0.288,1.8,3.1,0.587,0.7,1.1,0.628,0.7,3.3,4,1.2,0.5,0.5,0.6,1.6,635
"Matthew Dellavedova","NBA",32,5.69512195121951,2628597,"G",1.5,32,0,6.7,0.5,1.6,0.34,0.3,0.8,0.333,0.3,0.7,0.348,0.1,0.2,0.571,0,0.4,0.4,1.3,0.2,0,0.3,0.6,635
