"Player","Salary","SimpPos","Position","Age","TeamAbb","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","League"
"John Konchar",2300000,"F","SF",26,"MEM",72,23,20.8,1.9,4.4,0.431,0.8,2.5,0.339,1.1,2,0.545,0.4,0.5,0.778,0.9,3.4,4.3,1.4,1.1,0.3,0.5,1.6,5.1,"NBA"
"Rodney McGruder",2298385,"G","SG",31,"DET",32,12,16.4,1.9,4.8,0.408,1.3,3,0.423,0.7,1.7,0.382,0.6,0.7,0.818,0.6,1.7,2.3,0.9,0.5,0,0.3,1.2,5.7,"NBA"
"Bryn Forbes",2298385,"G","SG",29,"MIN",25,0,10.7,1.2,3.3,0.361,0.6,1.8,0.304,0.6,1.5,0.432,0.6,0.6,1,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6,"NBA"
"Damian Jones",2298385,"C","C",27,"LAL/UTA",41,1,11.6,1.3,2.1,0.64,0.2,0.4,0.588,1.1,1.7,0.652,0.5,0.7,0.759,1,2,3,0.4,0.2,0.5,0.6,1.3,3.5,"NBA"
"Quentin Grimes",2277000,"G","SG",22,"NYK",71,66,29.9,4,8.5,0.468,2.2,5.7,0.386,1.8,2.7,0.641,1.1,1.4,0.796,0.7,2.5,3.2,2.1,0.7,0.4,1,2.5,11.3,"NBA"
"Saben Lee",2266640,"G","PG",23,"PHI/PHO",25,1,14.9,2,4.8,0.405,0.4,1.2,0.367,1.5,3.6,0.418,1.7,2.3,0.737,0.5,1.3,1.8,2.7,0.8,0,1,1.3,6,"NBA"
"Andrew Nembhard",2244111,"G","SG",23,"IND",75,63,27.6,3.8,8.6,0.441,1.2,3.5,0.35,2.6,5.1,0.504,0.7,0.8,0.79,0.5,2.2,2.7,4.5,0.9,0.2,1.7,2.4,9.5,"NBA"
"Payton Pritchard",2239200,"G","PG",25,"BOS",48,3,13.4,2.1,5.1,0.412,1.2,3.2,0.364,0.9,1.9,0.495,0.3,0.3,0.75,0.5,1.3,1.8,1.3,0.3,0,0.8,0.8,5.6,"NBA"
"Bones Hyland",2201520,"G","PG",22,"DEN/LAC",56,1,19.4,4.1,10.2,0.399,2.1,5.6,0.371,2,4.6,0.434,1.5,1.8,0.843,0.4,2.1,2.4,3.1,0.7,0.3,1.5,1.7,11.8,"NBA"
"Bol Bol",2200000,"F","PF",23,"ORL",70,33,21.5,3.7,6.8,0.546,0.4,1.6,0.265,3.3,5.2,0.633,1.2,1.5,0.759,1,4.8,5.8,1,0.4,1.2,1.6,1.3,9.1,"NBA"
