"Player","Salary","SimpPos","Position","Age","TeamAbb","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","League"
"Haywood Highsmith",1752638,"F","PF",26,"MIA",54,11,17.9,1.7,4,0.431,0.7,2,0.339,1,2,0.523,0.2,0.5,0.464,1.1,2.4,3.5,0.8,0.7,0.3,0.8,1.5,4.4,"NBA"
"Omer Yurtseven",1752638,"C","C",24,"MIA",9,0,9.2,1.8,3,0.593,0.3,0.8,0.429,1.4,2.2,0.65,0.6,0.7,0.833,0.9,1.7,2.6,0.2,0.2,0.2,0.4,1.8,4.4,"NBA"
"Leandro Bolmaro",1709300,"F","SF",22,"UTA",14,0,4.9,0.2,1.4,0.15,0,0.3,0,0.2,1.1,0.188,0,0,NA,0.3,0.2,0.5,0.5,0.2,0.1,0.5,0.7,0.4,"NBA"
"Terry Taylor",1703902,"F","PF",23,"CHI/IND",31,2,8.5,1.3,2.4,0.52,0.2,0.6,0.263,1.1,1.8,0.607,0.2,0.4,0.545,0.9,0.6,1.5,0.3,0.1,0.2,0.3,0.8,2.9,"NBA"
"Jared Butler",1674655,"G","PG",22,"OKC",6,1,12.8,2.5,5.3,0.469,1.2,2.3,0.5,1.3,3,0.444,0,0,NA,0.2,0.5,0.7,1.3,0.8,0,0.8,0.8,6.2,"NBA"
"Jericho Sims",1639842,"C","C",24,"NYK",52,16,15.6,1.6,2.1,0.776,0,0,0,1.6,2,0.783,0.2,0.3,0.75,1.9,2.8,4.7,0.5,0.3,0.5,0.5,1.8,3.4,"NBA"
"Sam Hauser",1637966,"F","SF",25,"BOS",80,8,16.1,2.3,5,0.455,1.8,4.2,0.418,0.5,0.8,0.656,0.2,0.2,0.706,0.4,2.1,2.6,0.9,0.4,0.3,0.4,1.2,6.4,"NBA"
"Kessler Edwards",1637966,"F","SF",22,"BRK/SAC",36,4,10.7,1,2.6,0.387,0.5,1.5,0.309,0.5,1.1,0.5,0.3,0.4,0.733,0.6,1.1,1.7,0.6,0.4,0.2,0.4,1.1,2.8,"NBA"
"Isaiah Todd",1575000,"F","PF",21,"WAS",6,1,10.2,0.5,3.2,0.158,0.2,1.7,0.1,0.3,1.5,0.222,0.3,0.3,1,0.3,1.7,2,0.7,0.2,0,0.3,0.7,1.5,"NBA"
"Vit Krejci",1563518,"G","PG",22,"ATL",29,0,5.7,0.5,1.3,0.405,0.2,0.7,0.238,0.3,0.6,0.625,0,0.1,0.5,0.2,0.7,0.9,0.6,0.2,0,0.2,0.6,1.2,"NBA"
"JT Thor",1563518,"F","PF",20,"CHO",69,8,14,1.4,3.4,0.399,0.6,1.8,0.317,0.8,1.7,0.487,0.5,0.7,0.702,0.5,1.7,2.2,0.5,0.3,0.3,0.6,1,3.8,"NBA"
"Marko Simonovic",1563518,"C","C",23,"CHI",7,0,2.9,0.3,1,0.286,0.1,0.6,0.25,0.1,0.4,0.333,0.1,0.3,0.5,0.1,0.1,0.3,0,0,0,0,0.7,0.9,"NBA"
"Ayo Dosunmu",1563518,"G","SG",23,"CHI",80,51,26.2,3.5,7.1,0.493,0.7,2.4,0.312,2.8,4.8,0.583,0.8,1,0.805,0.6,2.2,2.8,2.6,0.8,0.3,1.2,2.3,8.6,"NBA"
"Isaiah Livers",1563518,"F","PF",24,"DET",52,22,23.1,2.3,5.5,0.417,1.4,3.9,0.365,0.9,1.6,0.541,0.6,0.8,0.821,0.5,2.2,2.8,0.8,0.5,0.5,0.6,2,6.7,"NBA"
"Daishen Nix",1563518,"G","PG",20,"HOU",57,7,16,1.4,4.2,0.342,0.7,2.5,0.286,0.7,1.7,0.423,0.4,0.6,0.667,0.3,1.4,1.7,2.3,0.5,0.1,1.5,1,4,"NBA"
"Jason Preston",1563518,"G","PG",23,"LAC",14,0,8.9,1.3,2.9,0.439,0.4,1.3,0.278,0.9,1.6,0.565,0,0.1,0,0.1,1.4,1.6,1.9,0.1,0,0.7,0.5,2.9,"NBA"
"Austin Reaves",1563518,"G","SG",24,"LAL",64,22,28.8,4,7.7,0.529,1.3,3.4,0.398,2.7,4.3,0.631,3.6,4.1,0.864,0.5,2.5,3,3.4,0.5,0.3,1.5,1.7,13,"NBA"
"Jose Alvarado",1563518,"G","PG",24,"NOP",61,10,21.5,3.3,8,0.411,1.4,4,0.336,1.9,4,0.488,1.1,1.3,0.813,0.5,1.9,2.3,3,1.1,0.2,1.3,2,9,"NBA"
"Miles McBride",1563518,"G","PG",22,"NYK",64,2,11.9,1.2,3.4,0.358,0.6,2.1,0.299,0.6,1.3,0.457,0.4,0.7,0.667,0.2,0.6,0.8,1.1,0.6,0.1,0.4,0.9,3.5,"NBA"
"Aaron Wiggins",1563518,"G","SG",24,"OKC",70,14,18.5,2.7,5.2,0.512,0.7,1.7,0.393,2,3.4,0.573,0.8,1,0.831,1,2,3,1.1,0.6,0.2,0.8,1.6,6.8,"NBA"
"Jock Landale",1563518,"C","C",27,"PHO",69,4,14.2,2.6,4.9,0.528,0.3,1.2,0.25,2.3,3.7,0.621,1.1,1.5,0.752,1.7,2.3,4.1,1,0.2,0.4,0.9,1.8,6.6,"NBA"
"Trendon Watford",1563518,"F","PF",22,"POR",62,12,19.1,2.9,5.2,0.56,0.4,1,0.391,2.5,4.2,0.602,1.2,1.6,0.72,0.7,3.2,3.8,2.1,0.5,0.2,1.1,1.9,7.4,"NBA"
"Dalano Banton",1563518,"G","PG",23,"TOR",31,2,9,1.8,4.2,0.423,0.5,1.6,0.294,1.3,2.5,0.506,0.5,0.8,0.708,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,4.6,"NBA"
"Christian Koloko",1500000,"C","C",22,"TOR",58,19,13.8,1.2,2.6,0.48,0,0.2,0.083,1.2,2.4,0.514,0.6,1,0.627,1.4,1.5,2.9,0.5,0.4,1,0.3,2.2,3.1,"NBA"
"Bryce McGowens",1461055,"G","SG",20,"CHO",46,7,17.1,1.7,4.4,0.396,0.6,1.7,0.325,1.2,2.7,0.443,1.3,1.7,0.75,0.4,1.6,2,1.2,0.3,0.1,0.9,1,5.3,"NBA"
"Jordan Goodwin",1280206,"G","PG",24,"WAS",62,7,17.8,2.5,5.7,0.448,0.6,1.9,0.322,1.9,3.8,0.511,0.9,1.1,0.768,0.9,2.4,3.3,2.7,0.9,0.4,0.9,1.5,6.6,"NBA"
"Kennedy Chandler",1200000,"G","PG",20,"MEM",36,0,7.8,1,2.3,0.422,0.1,0.4,0.133,0.9,1.9,0.485,0.2,0.4,0.462,0.3,0.8,1.1,1.6,0.3,0.1,0.5,0.4,2.2,"NBA"
"Noah Vonleh",1160955,"C","C",27,"BOS",23,1,7.4,0.5,1,0.458,0,0.2,0.25,0.4,0.9,0.5,0.1,0.1,1,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1,"NBA"
"Sandro Mamukelashvili",1116112,"C","C",23,"SAS/MIL",43,7,15.3,2.3,5.3,0.422,0.7,2.3,0.303,1.6,3,0.511,0.9,1.3,0.684,1.6,2.7,4.3,1.4,0.3,0.3,0.8,1.2,6.1,"NBA"
"Sam Merrill",1105522,"G","SG",26,"CLE",5,0,11.8,1.8,4.4,0.409,1,3.6,0.278,0.8,0.8,1,0.4,0.4,1,0,1.8,1.8,1,0.8,0,0,0.6,5,"NBA"
"Tyrese Martin",1017781,"G","SG",23,"ATL",16,0,4.1,0.6,1.4,0.391,0.1,0.4,0.143,0.5,1,0.5,0.1,0.1,1,0.3,0.4,0.8,0.1,0.1,0,0.1,0.1,1.3,"NBA"
"Jaden Hardy",1017781,"G","SG",20,"DAL",48,5,14.8,3,6.9,0.438,1.3,3.3,0.404,1.7,3.7,0.469,1.4,1.6,0.823,0.2,1.6,1.9,1.4,0.4,0.1,1,1.3,8.8,"NBA"
"Ryan Rollins",1017781,"G","PG",20,"GSW",12,0,5.2,0.6,1.7,0.35,0.3,0.8,0.333,0.3,0.9,0.364,0.5,0.5,1,0.3,0.8,1,0.5,0.1,0.1,1.3,0.8,1.9,"NBA"
"Max Christie",1017781,"G","SG",19,"LAL",41,3,12.5,1.1,2.6,0.415,0.6,1.5,0.419,0.4,1.1,0.409,0.3,0.4,0.875,0.2,1.7,1.8,0.5,0.2,0.2,0.3,0.8,3.1,"NBA"
"Josh Minott",1017781,"F","SF",20,"MIN",15,0,6.4,1.2,2.4,0.5,0.1,0.4,0.333,1.1,2,0.533,0.5,0.5,1,0.3,1.3,1.7,0.3,0.3,0.4,0.2,0.7,3.1,"NBA"
"Jabari Walker",1017781,"F","SF",20,"POR",56,0,11.1,1.5,3.5,0.419,0.3,1,0.286,1.2,2.5,0.472,0.6,0.8,0.756,0.9,1.5,2.3,0.6,0.2,0.2,0.5,1.2,3.9,"NBA"
"Eugene Omoruyi",1013119,"F","SF",25,"DET/OKC",40,6,16.1,2.5,5.7,0.443,0.6,2.2,0.281,1.9,3.5,0.547,1.3,1.9,0.68,1.1,1.7,2.8,0.7,0.7,0.1,0.9,2.3,7,"NBA"
"Kris Dunn",1000001,"G","PG",28,"UTA",22,3,25.8,5.3,9.8,0.537,0.8,1.6,0.472,4.5,8.2,0.55,1.9,2.4,0.774,0.4,4.1,4.5,5.6,1.1,0.5,1.6,2.6,13.2,"NBA"
"Admiral Schofield",877940,"F","PF",25,"ORL",37,0,12.2,1.5,3.3,0.451,0.6,2,0.324,0.8,1.3,0.646,0.6,0.6,0.913,0.6,1.1,1.7,0.8,0.2,0.1,0.4,1.6,4.2,"NBA"
"Justin Champagnie",853241,"F","SF",21,"BOS/TOR",5,0,6.8,1,3,0.333,0.2,1,0.2,0.8,2,0.4,0,0,NA,0.6,1,1.6,0.8,0.2,0,0,0.4,2.2,"NBA"
"Trevelin Queen",838891,"G","SG",25,"IND",7,0,10,1,4.1,0.241,0.3,2.1,0.133,0.7,2,0.357,0.7,0.7,1,1.1,1.3,2.4,0.9,0.3,0.7,1,0.6,3,"NBA"
"Moses Brown",824041,"C","C",23,"BRK/LAC",36,1,8.2,1.7,2.7,0.635,0,0,NA,1.7,2.7,0.635,0.9,2,0.458,1.6,2.3,3.9,0.1,0.1,0.4,0.4,1.1,4.3,"NBA"
"Matt Ryan",806097,"F","SF",25,"LAL/MIN",34,0,9.1,1.2,3.2,0.37,0.9,2.5,0.381,0.2,0.7,0.333,0.3,0.4,0.833,0.1,0.6,0.8,0.5,0.1,0,0.2,0.8,3.6,"NBA"
"PJ Dozier",784654,"F","SF",26,"SAC",16,0,4.9,0.6,2.1,0.303,0.1,1,0.125,0.5,1.1,0.471,0,0,NA,0.1,0.8,0.9,0.6,0.4,0.1,0.3,0.4,1.4,"NBA"
"Cody Zeller",743922,"C","C",30,"MIA",15,2,14.5,2.5,3.9,0.627,0,0.1,0,2.5,3.8,0.649,1.6,2.3,0.686,1.7,2.6,4.3,0.7,0.2,0.3,0.9,2.2,6.5,"NBA"
"Meyers Leonard",713558,"C","C",30,"MIL",9,2,12.7,1.6,3.2,0.483,0.8,2,0.389,0.8,1.2,0.636,0.9,1,0.889,1.3,2.4,3.8,0.1,0.2,0,0.7,1.8,4.8,"NBA"
"Anthony Lamb",694878,"F","SF",25,"GSW",62,4,19.3,2.4,5.1,0.471,1.2,3.2,0.367,1.2,1.9,0.652,0.7,1,0.767,0.9,2.6,3.5,1.5,0.5,0.3,0.9,2.2,6.7,"NBA"
"Michael Carter-Williams",652829,"G","PG",31,"ORL",4,0,11,1.5,3.5,0.429,0.3,0.8,0.333,1.3,2.8,0.455,1,1.8,0.571,0.3,1,1.3,1.8,0.3,0.3,1,1.3,4.3,"NBA"
"Carlik Jones",612162,"G","PG",25,"CHI",7,0,8,0.9,2.1,0.4,0.4,0.9,0.5,0.4,1.3,0.333,0.7,1.1,0.625,0.1,0.6,0.7,0.9,0.3,0,0.3,0.3,2.9,"NBA"
"Trevor Keels",520589,"G","SG",19,"NYK",3,0,2.7,0.3,1.3,0.25,0.3,1.3,0.25,0,0,NA,0,0,NA,0,0.7,0.7,0,0,0,0,0,1,"NBA"
"Dereon Seabron",511816,"G","SG",22,"NOP",5,0,2.4,0.4,1,0.4,0,0,NA,0.4,1,0.4,0,0,NA,0.2,0,0.2,0,0,0,0,0.2,0.8,"NBA"
"Trent Forrest",508891,"G","SG",24,"ATL",23,3,12,1.1,2.6,0.417,0,0.1,0,1.1,2.5,0.431,0.1,0.1,0.667,0.2,1.4,1.6,1.7,0.3,0.1,0.7,0.7,2.3,"NBA"
"Mfiondu Kabengele",508891,"F","PF",25,"BOS",4,0,9,0.5,1.8,0.286,0,0.8,0,0.5,1,0.5,0.5,0.5,1,1.3,1.3,2.5,0,0.5,0,0.3,0.8,1.5,"NBA"
"JD Davison",508891,"G","SG",20,"BOS",12,0,5.5,0.7,1.6,0.421,0.2,0.6,0.286,0.5,1,0.5,0.1,0.2,0.5,0.2,0.6,0.8,0.9,0.2,0.2,0.3,0.4,1.6,"NBA"
"Malcolm Hill",508891,"F","SF",27,"CHI",5,0,1.8,0.4,0.8,0.5,0.2,0.6,0.333,0.2,0.2,1,0,0,NA,0,0.6,0.6,0,0,0,0,0.2,1,"NBA"
"Mamadi Diakite",508891,"C","C",26,"CLE",22,2,8,1.1,2.3,0.48,0.3,1,0.333,0.8,1.3,0.586,0.1,0.1,1,0.4,1,1.4,0.4,0.2,0.4,0.5,1.2,2.6,"NBA"
"Isaiah Mobley",508891,"F","PF",23,"CLE",12,0,7,1,2.3,0.429,0.3,0.7,0.375,0.8,1.7,0.45,0.3,0.3,1,0.3,1.3,1.7,0.3,0.3,0.3,0.1,0.7,2.6,"NBA"
"Jack White",508891,"F","SF",25,"DEN",17,0,3.9,0.5,1.1,0.421,0.2,0.5,0.333,0.3,0.6,0.5,0.1,0.2,0.667,0.4,0.6,1,0.2,0.2,0.1,0.1,0.5,1.2,"NBA"
"Buddy Boeheim",508891,"F","SF",23,"DET",10,0,9,0.5,2.7,0.185,0.4,2.5,0.16,0.1,0.2,0.5,0.2,0.2,1,0.2,0.4,0.6,0.4,0.2,0,0,0.6,1.6,"NBA"
"Darius Days",508891,"F","SF",23,"HOU",4,0,6.3,1.3,3,0.417,0.8,2.5,0.3,0.5,0.5,1,0.5,0.5,1,0.3,1.3,1.5,0.3,0,0.3,0,0.5,3.8,"NBA"
"Trevor Hudgins",508891,"G","PG",23,"HOU",5,0,5.6,0.4,1.8,0.222,0.4,1.6,0.25,0,0.2,0,0.6,0.6,1,0,0,0,0.6,0,0,0.2,0.2,1.8,"NBA"
"Kendall Brown",508891,"G","SG",19,"IND",6,0,6.7,0.7,1.2,0.571,0,0.2,0,0.7,1,0.667,0.2,0.3,0.5,0.3,0.7,1,0.5,0.7,0,0.3,1.5,1.5,"NBA"
"Cole Swider",508891,"F","SF",23,"LAL",7,0,5.9,0.4,1.3,0.333,0.4,1.1,0.375,0,0.1,0,0,0,NA,0.1,0.9,1,0.6,0,0,0,0.4,1.3,"NBA"
"Jamal Cain",508891,"F","PF",23,"MIA",18,0,13.3,2.1,3.7,0.561,0.4,1.1,0.35,1.7,2.6,0.652,0.9,1.2,0.773,0.8,2.1,2.9,0.7,0.6,0.1,0.3,1.2,5.4,"NBA"
"Luka Garza",508891,"C","C",24,"MIN",28,0,8.7,2.3,4.1,0.543,0.5,1.4,0.359,1.8,2.8,0.636,1.5,1.9,0.788,1.2,1.1,2.3,0.6,0.1,0.1,0.5,1.5,6.5,"NBA"
"Kevon Harris",508891,"G","SG",25,"ORL",34,0,13.4,1.4,3.1,0.439,0.5,1.3,0.372,0.9,1.9,0.484,0.9,1.2,0.756,0.8,1.2,2.1,0.5,0.5,0.1,0.6,1.6,4.1,"NBA"
"Keon Ellis",508891,"G","SG",23,"SAC",16,0,4.4,0.4,1,0.438,0.4,0.8,0.5,0.1,0.3,0.25,0.3,0.4,0.571,0.3,0.3,0.5,0.4,0.3,0.1,0.1,0.6,1.5,"NBA"
"Neemias Queta",508891,"C","C",23,"SAC",5,0,5.8,1.2,1.8,0.667,0,0,NA,1.2,1.8,0.667,0,0.4,0,1,1.2,2.2,0.2,0,0.4,0.2,1.4,2.4,"NBA"
"Dominick Barlow",508891,"F","PF",19,"SAS",28,0,14.6,1.6,3.1,0.535,0,0.1,0,1.6,2.9,0.561,0.6,0.9,0.72,1.6,2,3.6,0.9,0.4,0.7,0.5,2,3.9,"NBA"
"Julian Champagnie",508891,"F","SF",21,"SAS/PHI",17,3,18.8,3.5,7.6,0.454,1.9,4.8,0.402,1.5,2.8,0.542,0.8,1,0.824,0.6,2.9,3.5,0.6,0.4,0.3,0.6,1.5,9.7,"NBA"
"Jeff Dowtin",508891,"G","PG",25,"TOR",25,0,10.4,1,2.3,0.439,0.2,0.6,0.313,0.8,1.6,0.488,0.2,0.4,0.667,0.2,0.7,0.9,1.2,0.4,0.1,0.2,0.5,2.4,"NBA"
"Micah Potter",508891,"F","PF",24,"UTA",7,0,7.4,1.4,2.1,0.667,0.6,1,0.571,0.9,1.1,0.75,0,0,NA,0.4,1.9,2.3,0.6,0.1,0,0.3,0.7,3.4,"NBA"
"Johnny Juzang",508891,"G","SG",21,"UTA",18,0,12.9,1.9,5.8,0.337,0.8,3.5,0.238,1.1,2.3,0.488,0.1,0.2,0.5,0.4,1.7,2.2,0.4,0.2,0.2,0.2,0.7,4.8,"NBA"
"John Butler",503041,"C","C",20,"POR",19,1,11.6,0.9,2.8,0.321,0.4,1.8,0.229,0.5,0.9,0.5,0.2,0.2,0.75,0.2,0.7,0.9,0.6,0.4,0.5,0.1,1.2,2.4,"NBA"
"Chima Moneke",5e+05,"F","SF",27,"SAC",2,0,4,0.5,1,0.5,0,0,NA,0.5,1,0.5,0,1,0,1,0,1,0.5,0,0,1,1,1,"NBA"
"Facundo Campazzo",464299,"G","PG",31,"DAL",8,0,6.5,0.4,1.6,0.231,0.4,1.4,0.273,0,0.3,0,0.1,0.3,0.5,0,0.3,0.3,1.1,0.8,0,0.4,0.4,1.3,"NBA"
"Orlando Robinson",386055,"C","C",22,"MIA",31,1,13.7,1.5,2.9,0.528,0,0.2,0,1.5,2.7,0.566,0.7,1,0.71,1.5,2.5,4.1,0.8,0.4,0.4,0.5,1.7,3.7,"NBA"
"Dru Smith",374357,"G","SG",25,"BRK/MIA",15,1,10.5,1.2,3,0.4,0.3,1.3,0.263,0.9,1.7,0.5,0.2,0.2,1,0.1,1.5,1.6,1.5,0.7,0.3,0.2,1.5,2.9,"NBA"
"Jared Rhoden",307089,"G","SG",23,"DET",14,0,14.1,1.2,3.1,0.386,0.4,1.4,0.25,0.9,1.7,0.5,0.4,0.4,1,0.8,1.9,2.6,0.3,0.3,0.1,0.2,1.6,3.2,"NBA"
"Louis King",307089,"F","PF",23,"PHI",1,0,29,8,13,0.615,4,8,0.5,4,5,0.8,0,1,0,2,2,4,2,1,0,2,4,20,"NBA"
"Jarrett Culver",260295,"F","SF",23,"ATL",10,1,13.7,1.7,4.3,0.395,0.1,1.2,0.083,1.6,3.1,0.516,0.9,1.3,0.692,1,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4,"NBA"
"Olivier Sarr",257371,"C","C",23,"OKC",9,1,12.7,1.7,3.3,0.5,0.1,0.9,0.125,1.6,2.4,0.636,0.6,0.8,0.714,1.3,2.1,3.4,0.4,0.1,0.6,0.4,1.9,4,"NBA"
"Alondes Williams",254446,"G","SG",23,"BRK",1,0,5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,1,1,0,0,0,2,1,0,"NBA"
"Donovan Williams",239822,"G","SG",21,"ATL",2,0,2,1,2.5,0.4,0,1,0,1,1.5,0.667,0,0,NA,0,1,1,0,0,0,0,0,2,"NBA"
"Quenton Jackson",219630,"G","PG",24,"WAS",9,0,15,2.1,4.7,0.452,0.1,1.3,0.083,2,3.3,0.6,1.9,2.4,0.773,0.2,0.7,0.9,1.7,0.4,0.1,0.4,1.1,6.2,"NBA"
"Chris Silva",211045,"F","PF",26,"DAL",1,0,3,1,1,1,0,0,NA,1,1,1,0,0,NA,0,0,0,0,0,0,1,2,2,"NBA"
"Tyler Dorsey",201802,"F","SF",26,"DAL",3,0,2.7,1.3,1.7,0.8,0.3,0.7,0.5,1,1,1,0,0,NA,0.3,0.3,0.7,0,0,0,0,0,3,"NBA"
"Braxton Key",201802,"F","SF",25,"DET",3,0,3,0.3,0.3,1,0,0,NA,0.3,0.3,1,0.7,0.7,1,0,0.3,0.3,0,0,0,0,0,1.3,"NBA"
"Jordan Hall",193027,"F","SF",21,"SAS",9,0,9.2,1,3.1,0.321,0.3,1.7,0.2,0.7,1.4,0.462,0.8,1,0.778,0.3,1,1.3,1.2,0.1,0,0.8,0.7,3.1,"NBA"
"Alize Johnson",192293,"F","PF",26,"SAS",4,0,7.5,0.8,1.5,0.5,0,0.5,0,0.8,1,0.75,0.3,0.5,0.5,0.5,2,2.5,0.3,0.3,0,1,0.8,1.8,"NBA"
"Devon Dotson",169630,"G","PG",23,"WAS",6,0,8.8,0.2,1.7,0.1,0.2,0.7,0.25,0,1,0,0,0,NA,1,0.7,1.7,1.3,0.8,0,0.5,1.5,0.5,"NBA"
"Mac McClung",160856,"G","SG",24,"PHI",2,0,20.5,4.5,10,0.45,2,5.5,0.364,2.5,4.5,0.556,1.5,2.5,0.6,1.5,3.5,5,4.5,0,0,1.5,1.5,12.5,"NBA"
"Xavier Cooks",140384,"F","PF",27,"WAS",10,1,12.6,1.7,2.8,0.607,0,0.1,0,1.7,2.7,0.63,0.4,1,0.4,1.6,2.2,3.8,0.6,0.6,0.4,0.8,1.3,3.8,"NBA"
"Shaquille Harrison",134862,"G","SG",29,"POR",5,0,24,3,7.2,0.417,0.6,2,0.3,2.4,5.2,0.462,2.2,3,0.733,0.2,4.2,4.4,6,2.2,0.4,1.2,2.4,8.8,"NBA"
"Lester Quinones",129405,"G","SG",22,"GSW",4,0,4.5,0.5,1.3,0.4,0.5,1,0.5,0,0.3,0,1,1.5,0.667,0.3,0.5,0.8,0.5,0.3,0,1.3,0,2.5,"NBA"
"Xavier Moon",116986,"G","SG",28,"LAC",4,0,5,0.8,2.3,0.333,0.3,0.8,0.333,0.5,1.5,0.333,0,0,NA,0,0.8,0.8,1.3,0,0,0.3,0.5,1.8,"NBA"
"Jamaree Bouyea",116986,"G","PG",23,"MIA/WAS",5,0,14.2,1.2,2.8,0.429,0.4,1.2,0.333,0.8,1.6,0.5,0.2,0.4,0.5,0.2,1,1.2,0.8,0.8,0.4,0.8,1.2,3,"NBA"
"Jay Huff",116986,"C","C",24,"WAS",7,0,13.6,2.1,3.6,0.6,0.9,1.7,0.5,1.3,1.9,0.692,2.1,2.3,0.938,0.9,2.1,3,1.4,0.4,0.6,0.7,2.1,7.3,"NBA"
"Skylar Mays",116574,"G","PG",25,"POR",6,6,31.5,5.7,11.3,0.5,2,4.3,0.462,3.7,7,0.524,2,2.2,0.923,0.3,2.8,3.2,8.3,1,0.2,1.7,1.8,15.3,"NBA"
"Frank Jackson",113114,"G","PG",24,"UTA",1,0,5,0,3,0,0,1,0,0,2,0,0,0,NA,1,1,2,1,0,0,0,0,0,"NBA"
"Deonte Burton",105522,"F","PF",29,"SAC",2,0,3,0,1,0,0,0.5,0,0,0.5,0,0,0,NA,0,0,0,0,0,0,0,0,0,"NBA"
"Jarrell Brantley",105522,"F","PF",26,"UTA",4,0,9.8,2,3.5,0.571,1,2.3,0.444,1,1.3,0.8,0.5,0.5,1,0.3,1.3,1.5,0.8,0,0.5,0.5,0.8,5.5,"NBA"
"Xavier Sneed",102910,"F","SF",25,"CHO",4,0,12,1.3,2.5,0.5,0.8,1.5,0.5,0.5,1,0.5,1,1,1,0,1.3,1.3,1.3,0,0.3,0.8,1.8,4.3,"NBA"
"Lindell Wigginton",99438,"G","PG",24,"MIL",7,1,12.4,2.6,5.3,0.486,0.9,2.6,0.333,1.7,2.7,0.632,1.1,1.3,0.889,0,1,1,2,0,0.3,1.7,1,7.1,"NBA"
"Jordan Schakel",96514,"F","SF",24,"WAS",2,0,3,0.5,1,0.5,0.5,0.5,1,0,0.5,0,0,0,NA,0,0,0,0.5,0.5,0,0,0.5,1.5,"NBA"
"Stanley Umude",58493,"G","SG",23,"DET",1,0,2,0,1,0,0,1,0,0,0,NA,2,2,1,0,0,0,0,1,1,0,0,2,"NBA"
"Jeenathan Williams",52644,"G","SG",23,"POR",5,4,25.4,4.8,7.8,0.615,0.6,1.6,0.375,4.2,6.2,0.677,0.4,0.6,0.667,2,1,3,2,0.6,0.4,0.8,2.6,10.6,"NBA"
"Jay Scrubb",49719,"G","SG",22,"ORL",2,0,15,2.5,3.5,0.714,1,1,1,1.5,2.5,0.6,0.5,1,0.5,0,3,3,0.5,1,0,1.5,1,6.5,"NBA"
"Justin Minaya",35096,"F","SF",23,"POR",4,0,22.3,1.8,5.8,0.304,0.8,3,0.25,1,2.8,0.364,0,0.3,0,0.8,3,3.8,1,0.5,1.3,1,2.3,4.3,"NBA"
"Kobi Simmons",32795,"G","SG",25,"CHO",5,0,5.6,0.2,1.2,0.167,0.2,1,0.2,0,0.2,0,0.4,0.4,1,0.2,0.6,0.8,1,0,0.4,0.2,0,1,"NBA"
"Gabe York",32171,"G","SG",29,"IND",3,0,18.7,2.7,7,0.381,2,6,0.333,0.7,1,0.667,0.7,0.7,1,0,2,2,1.7,0.7,0,0,1.7,8,"NBA"
"RaiQuan Gray",5849,"F","PF",23,"BRK",1,0,35,6,12,0.5,2,5,0.4,4,7,0.571,2,2,1,3,6,9,7,0,1,4,5,16,"NBA"
"Jacob Gilyard",5849,"G","PG",24,"MEM",1,0,41,1,3,0.333,1,3,0.333,0,0,NA,0,0,NA,0,4,4,7,3,0,2,3,3,"NBA"
"A'ja Wilson",196267,"F","F",26,"LVA",36,36,30,7.2,14.4,0.501,0.9,2.3,0.373,6.4,12.1,0.525,4.2,5.2,0.813,1.8,7.6,9.4,2.1,1.4,1.9,1.7,2.1,19.5,"WNBA"
"Aari McDonald",71441,"G","G",24,"ATL",36,6,24.3,3.6,8.9,0.411,1.3,3.9,0.338,2.3,4.9,0.469,2.4,2.8,0.871,0.4,1.8,2.3,2.6,1.5,0,2.2,2.2,11.1,"WNBA"
"Aerial Powers",196267,"F","F-G",28,"MIN",35,31,27,4.9,12.6,0.385,0.9,3.1,0.308,3.9,9.5,0.41,3.8,4.6,0.815,1.3,3.4,4.7,2.9,1.2,0.3,2.6,1.8,14.4,"WNBA"
"Aisha Sheppard",63389,"G","G",23,"LVA",23,0,7.6,0.4,1.8,0.238,0.4,1.4,0.273,0,0.4,0.111,0.3,0.3,0.75,0.3,0.3,0.6,0.3,0.2,0,0.3,1.1,1.5,"WNBA"
"Alaina Coates",24999,"C","C",27,"IND",8,0,9.4,0.9,1.4,0.636,0,0,NA,0.9,1.4,0.636,1.8,1.9,0.933,0.8,1.3,2,0.3,0.3,0.4,0.6,2.3,3.5,"WNBA"
"Alanna Smith",19285,"F","F",26,"IND",9,1,12.8,1.6,4.7,0.333,0.7,2.8,0.24,0.9,1.9,0.471,0.6,0.8,0.714,0.9,1.8,2.7,0.6,0.9,0.7,0.9,1.9,4.3,"WNBA"
"Allie Quigley",135000,"G","G",36,"CHI",34,34,26.3,3.8,8.9,0.428,1.5,4.1,0.355,2.4,4.8,0.491,2.2,2.4,0.95,0.5,2,2.5,2.9,0.7,0.2,1.3,1.5,11.4,"WNBA"
"Allisha Gray",164800,"F","F",27,"DAL",33,33,32.9,4.4,10.5,0.423,1.9,4.8,0.408,2.5,5.7,0.436,2.5,3.2,0.798,0.9,3.9,4.8,2.5,1.1,0.7,1.3,2.4,13.3,"WNBA"
