PLAYER,2022 SALARY,2022 SIGNING,G,GS,MIN,PTS,FGM,FGA,FG%,2:00 PM,2PA,2P%,3:00 PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Tyasha Harris,"$73,211",--,35,5,15.8,5,2,4.7,41.80%,1.5,3.2,46.80%,0.5,1.5,31.50%,0.5,0.7,79.20%,0.2,0.7,0.9,2.8,1.1,0.4,0.1,1
Tianna Hawkins,"$72,141",UFA,25,0,12.8,4.9,1.8,4.6,38.60%,1.2,2.4,49.20%,0.6,2.1,26.40%,0.8,0.8,95.20%,0.6,1.8,2.4,0.8,1.2,0.4,0.1,1.7
Kaela Davis,"$2,143",Hardship,7,0,7.8,4.9,1.9,3,61.90%,1.3,2.1,60.00%,0.6,0.9,66.70%,0.6,0.7,80.00%,0.4,0.9,1.3,0.1,0.9,0.3,0,1.3
Kaela Davis,"$5,357",Hardship,7,0,7.8,4.9,1.9,3,61.90%,1.3,2.1,60.00%,0.6,0.9,66.70%,0.6,0.7,80.00%,0.4,0.9,1.3,0.1,0.9,0.3,0,1.3
Kaela Davis,"$7,500",UFA,7,0,7.8,4.9,1.9,3,61.90%,1.3,2.1,60.00%,0.6,0.9,66.70%,0.6,0.7,80.00%,0.4,0.9,1.3,0.1,0.9,0.3,0,1.3
Kaela Davis,"$1,607",UFA,7,0,7.8,4.9,1.9,3,61.90%,1.3,2.1,60.00%,0.6,0.9,66.70%,0.6,0.7,80.00%,0.4,0.9,1.3,0.1,0.9,0.3,0,1.3
Michaela Onyenwere,"$68,552",Rookie,34,1,13.7,4.7,1.4,3.8,37.70%,1,2.4,42.50%,0.4,1.5,30.00%,1.4,1.6,83.60%,0.4,1.7,2.1,0.4,0.7,0.4,0.2,2
Destiny Slocum,"$4,041",Hardship,3,0,13.7,4.7,1.3,3.7,36.40%,0.3,0.7,50.00%,1,3,33.30%,1,1.7,60.00%,0,1.3,1.3,1.3,1.7,0,0,1.3
Naz Hillmon,"$63,389",Rookie,34,12,19.8,4.4,1.7,3.6,48.00%,1.7,3.6,48.80%,0,0.1,0.00%,0.9,1.1,82.10%,1.5,3.5,5.1,1.2,1.2,0.6,0.3,1.5
Alanna Smith,"$19,285",UFA,9,1,12.8,4.3,1.6,4.7,33.30%,0.9,1.9,47.10%,0.7,2.8,24.00%,0.6,0.8,71.40%,0.9,1.8,2.7,0.6,0.9,0.9,0.7,1.9
Bridget Carleton,"$72,141",Reserved,36,2,16.8,4.3,1.5,3.7,40.30%,0.7,1.4,48.10%,0.8,2.3,35.40%,0.5,0.7,73.10%,0.3,1.8,2.1,1.1,0.6,0.4,0.1,1.6
Brianna Turner,"$72,141",--,35,35,33.4,4.3,1.9,3.2,60.70%,1.9,3.2,60.70%,0,0,--,0.4,0.9,50.00%,2,4.8,6.8,2.3,1.4,1.3,1.6,2.3
Dana Evans,"$62,774",Rookie,33,1,11.5,4.3,1.5,3.9,37.70%,0.8,1.9,42.90%,0.7,2,32.80%,0.7,0.8,88.00%,0.2,0.7,0.8,1.2,0.8,0.3,0.1,0.9
Yvonne Turner,"$2,143",Hardship,9,2,15.4,4,1.3,4.1,32.40%,1,3.3,30.00%,0.3,0.8,42.90%,1,1.2,81.80%,0.3,1.2,1.6,2,1.4,0.3,0,1.3
Olivia Nelson-Ododa,"$63,389",Rookie,30,6,14.5,4,1.6,2.8,56.00%,1.6,2.8,56.00%,0,0,--,0.9,1.2,70.30%,1.1,1.8,2.9,0.4,1,0.3,0.8,2.6
Theresa Plaisance,"$72,141",UFA,31,2,12.9,4,1.4,3.7,37.10%,0.4,0.9,44.40%,1,2.9,34.80%,0.2,0.3,70.00%,0.5,2.1,2.6,0.5,0.6,0.3,0.4,1.3
Yvonne Turner,"$5,357",Hardship,9,2,15.4,4,1.3,4.1,32.40%,1,3.3,30.00%,0.3,0.8,42.90%,1,1.2,81.80%,0.3,1.2,1.6,2,1.4,0.3,0,1.3
Yvonne Turner,"$3,750",Hardship,9,2,15.4,4,1.3,4.1,32.40%,1,3.3,30.00%,0.3,0.8,42.90%,1,1.2,81.80%,0.3,1.2,1.6,2,1.4,0.3,0,1.3
Epiphanny Prince,"$115,000",UFA,33,0,12.3,3.9,1.3,3.8,35.50%,0.7,2,35.40%,0.6,1.8,35.60%,0.6,0.8,84.00%,0.2,0.8,1,1.8,0.5,0.6,0.1,0.9
Lexie Hull,"$69,224",Rookie,26,4,12.9,3.8,1.1,4,26.70%,0.8,2.4,32.30%,0.3,1.7,18.60%,1.4,1.5,90.00%,0.4,1.1,1.5,0.7,0.7,0.6,0.1,1.8
Iliana Rupert,"$37,420",Rookie,17,0,13.1,3.8,1.5,3.2,46.30%,0.6,0.9,68.80%,0.8,2.2,36.80%,0.1,0.2,33.30%,0.6,1.6,2.3,0.9,0.5,0.4,0,2.1
Jantel Lavender,"$114,000",UFA,27,4,12.2,3.8,1.7,4.1,40.90%,1.5,3.2,46.50%,0.2,0.9,20.80%,0.3,0.4,66.70%,1,2.3,3.3,0.9,0.9,0.1,0.1,1.1
Jantel Lavender,"$72,141",UFA,27,4,12.2,3.8,1.7,4.1,40.90%,1.5,3.2,46.50%,0.2,0.9,20.80%,0.3,0.4,66.70%,1,2.3,3.3,0.9,0.9,0.1,0.1,1.1
Megan Gustafson,"$72,141",UFA,33,0,9.6,3.8,1.5,2.8,54.90%,1.2,2,58.50%,0.4,0.8,46.20%,0.4,0.5,76.50%,0.5,1.4,1.9,0.5,0.7,0.2,0.2,1.9
Briann January,"$140,000",UFA,36,5,16.9,3.7,1.3,3.4,37.70%,0.6,1.3,47.90%,0.6,2.1,31.10%,0.5,0.6,82.60%,0.2,0.8,1,2.4,1.5,0.6,0.2,1.6
Alaina Coates,"$24,999",UFA,8,0,9.4,3.5,0.9,1.4,63.60%,0.9,1.4,63.60%,0,0,--,1.8,1.9,93.30%,0.8,1.3,2,0.3,0.6,0.3,0.4,2.3
Jennie Simms,"$8,083",Hardship,23,4,13.2,3.4,1.3,2.7,47.60%,1.1,1.9,59.10%,0.2,0.8,21.10%,0.7,0.8,78.90%,0.6,1.7,2.2,0.9,1,0.5,0,1.7
Jennie Simms,"$10,477",UFA,23,4,13.2,3.4,1.3,2.7,47.60%,1.1,1.9,59.10%,0.2,0.8,21.10%,0.7,0.8,78.90%,0.6,1.7,2.2,0.9,1,0.5,0,1.7
Jennie Simms,"$12,573",UFA,23,4,13.2,3.4,1.3,2.7,47.60%,1.1,1.9,59.10%,0.2,0.8,21.10%,0.7,0.8,78.90%,0.6,1.7,2.2,0.9,1,0.5,0,1.7
Megan Walker,"$24,996",--,12,0,9.6,3.3,1.2,3.2,36.80%,0.6,1.6,36.80%,0.6,1.6,36.80%,0.3,0.5,66.70%,0.3,0.5,0.8,0.4,1,0.3,0,0.7
Yvonne Anderson,"$23,350",UFA,11,0,9.2,3.2,1.1,2.4,46.20%,0.7,1.5,50.00%,0.4,0.9,40.00%,0.6,0.6,100.00%,0.3,0.5,0.8,1.1,1,0.3,0.2,1.3
Bria Hartley,"$23,000",UFA,13,0,9.5,3,1.1,2.8,37.80%,0.5,1.5,35.00%,0.5,1.3,41.20%,0.3,0.5,66.70%,0.1,0.8,0.9,1.1,0.8,0.3,0,0.5
Bria Hartley,"$175,911",--,13,0,9.5,3,1.1,2.8,37.80%,0.5,1.5,35.00%,0.5,1.3,41.20%,0.3,0.5,66.70%,0.1,0.8,0.9,1.1,0.8,0.3,0,0.5
Karlie Samuelson,"$3,214",Hardship,1,0,10.2,3,1,3,33.30%,0,0,--,1,3,33.30%,0,0,--,0,3,3,1,1,0,0,1
Julie Allemand,"$61,049",--,25,4,16.1,3,1,2.4,41.70%,0.6,1.2,55.20%,0.4,1.2,29.00%,0.6,0.7,83.30%,0.4,1.2,1.6,3.4,1.3,0.6,0.1,0.9
Evina Westbrook,"$26,344",UFA,20,2,10.2,2.8,1,2.7,37.70%,0.8,1.7,45.50%,0.3,1,25.00%,0.6,0.8,73.30%,0.1,1,1,1.2,0.8,0.4,0.4,0.9
Evina Westbrook,"$12,573",UFA,20,2,10.2,2.8,1,2.7,37.70%,0.8,1.7,45.50%,0.3,1,25.00%,0.6,0.8,73.30%,0.1,1,1,1.2,0.8,0.4,0.4,0.9
Evina Westbrook,"$16,764",UFA,20,2,10.2,2.8,1,2.7,37.70%,0.8,1.7,45.50%,0.3,1,25.00%,0.6,0.8,73.30%,0.1,1,1,1.2,0.8,0.4,0.4,0.9
Awak Kuier,"$71,441",Rookie,33,0,12.6,2.8,1,2.6,39.50%,0.9,2,46.20%,0.1,0.6,19.00%,0.6,0.9,61.30%,0.7,1.8,2.5,0.9,0.6,0.4,0.9,0.8
Kianna Smith,"$8,382",UFA,11,0,10.2,2.6,1,3.2,31.40%,0.5,1.5,35.30%,0.5,1.6,27.80%,0.2,0.2,100.00%,0.5,0.4,0.8,0.5,0.4,0.4,0,1
Kianna Smith,"$9,285",UFA,11,0,10.2,2.6,1,3.2,31.40%,0.5,1.5,35.30%,0.5,1.6,27.80%,0.2,0.2,100.00%,0.5,0.4,0.8,0.5,0.4,0.4,0,1
Jocelyn Willoughby,"$70,127",--,11,4,11,2.6,1,2.4,42.30%,0.7,1.4,53.30%,0.3,1,27.30%,0.4,0.7,50.00%,0.2,1.5,1.6,0.4,0.8,0.5,0.2,0.7
Veronica Burton,"$69,224",Rookie,36,6,15.2,2.6,0.7,2.1,32.90%,0.4,0.9,39.40%,0.3,1.2,27.90%,0.9,0.9,100.00%,0.5,1,1.5,1.9,1,0.9,0.3,1.4
Kia Vaughn,"$110,000",UFA,29,1,13.8,2.5,1.1,2.8,40.00%,1.1,2.7,40.50%,0,0,0.00%,0.3,0.4,69.20%,1,2.2,3.2,0.9,1.2,0.3,0.3,1.7
Ruthy Hebard,"$73,211",--,24,0,9.7,2.3,1,2,51.00%,1,2,51.00%,0,0,--,0.3,0.3,75.00%,0.3,1.4,1.7,0.5,0.5,0.3,0.1,1.2
DiDi Richards,"$62,774",Rookie,14,0,11.1,2.3,0.8,2.6,30.60%,0.6,1.8,32.00%,0.2,0.8,27.30%,0.5,0.7,70.00%,0.4,1.4,1.7,1.4,0.9,0.1,0.4,1.8
Kiah Stokes,"$115,000",UFA,31,4,15.3,2.3,0.8,2,42.60%,0.7,1.2,56.80%,0.2,0.8,20.80%,0.4,0.5,81.30%,0.9,3.5,4.4,0.6,0.6,0.5,0.8,1.3
Khayla Pointer,"$37,121",ROS,10,0,5.8,2.2,0.7,1.2,58.30%,0.6,0.8,75.00%,0.1,0.4,25.00%,0.7,1.4,50.00%,0.1,0.7,0.8,0.2,0.9,0.2,0,0.2
Reshanda Gray,"$15,000",UFA,27,0,8.8,2.2,0.9,2.1,43.90%,0.8,1.6,51.20%,0.1,0.5,21.40%,0.2,0.3,66.70%,0.6,1.4,2,0.4,1,0.3,0.2,2.1
Reshanda Gray,"$19,999",UFA,27,0,8.8,2.2,0.9,2.1,43.90%,0.8,1.6,51.20%,0.1,0.5,21.40%,0.2,0.3,66.70%,0.6,1.4,2,0.4,1,0.3,0.2,2.1
Reshanda Gray,"$36,428",UFA,27,0,8.8,2.2,0.9,2.1,43.90%,0.8,1.6,51.20%,0.1,0.5,21.40%,0.2,0.3,66.70%,0.6,1.4,2,0.4,1,0.3,0.2,2.1
Beatrice Mompremier,"$60,471",Reserved,21,0,8.3,2.1,1,2.1,45.50%,1,2.1,45.50%,0,0,--,0.2,0.6,38.50%,1,1.9,2.8,0.4,0.7,0.1,0.6,1.3
Nia Clouden,"$66,306",Rookie,28,0,8.9,2.1,0.6,1.9,34.00%,0.2,0.9,25.00%,0.4,1,41.40%,0.4,0.6,58.80%,0.1,0.8,0.8,0.8,0.4,0.2,0,0.9
Joyner Holmes,"$30,535",UFA,26,0,7.9,2,0.7,2.3,31.10%,0.5,1.5,35.90%,0.2,0.8,22.70%,0.4,0.5,76.90%,0.2,1.1,1.3,0.5,0.7,0.3,0.1,0.8
Joyner Holmes,"$14,968",UFA,26,0,7.9,2,0.7,2.3,31.10%,0.5,1.5,35.90%,0.2,0.8,22.70%,0.4,0.5,76.90%,0.2,1.1,1.3,0.5,0.7,0.3,0.1,0.8
Joyner Holmes,"$12,573",UFA,26,0,7.9,2,0.7,2.3,31.10%,0.5,1.5,35.90%,0.2,0.8,22.70%,0.4,0.5,76.90%,0.2,1.1,1.3,0.5,0.7,0.3,0.1,0.8
Anneli Maley,"$8,083",Hardship,4,0,11.1,2,0.8,1.5,50.00%,0.3,0.8,33.30%,0.5,0.8,66.70%,0,0,--,0.8,1,1.8,0.8,0.3,0.8,0.3,1.5
Charli Collier,"$71,441",Rookie,17,0,4.6,2,0.7,1.6,44.40%,0.7,1.5,48.00%,0,0.1,0.00%,0.6,0.8,71.40%,0.2,0.4,0.6,0.1,0.6,0.1,0,1.1
Mercedes Russell,"$160,000",RFA,5,0,10.7,2,0.8,1.6,50.00%,0.8,1.6,50.00%,0,0,--,0.4,0.6,66.70%,0.4,1.4,1.8,0.2,1.4,0,0,1.4
Rui Machida,"$60,471",UFA,36,2,12.9,1.8,0.7,2.3,31.00%,0.5,1.4,38.00%,0.2,0.9,20.60%,0.2,0.3,66.70%,0.2,0.9,1.1,2.6,1.1,0.4,0.1,0.7
Stephanie Jones,"$3,143",Hardship,5,0,5.3,1.8,0.6,1.6,37.50%,0.4,1.2,33.30%,0.2,0.4,50.00%,0.4,0.4,100.00%,0.2,0.2,0.4,0.4,0,0.2,0,1
Stephanie Jones,"$1,796",Hardship,5,0,5.3,1.8,0.6,1.6,37.50%,0.4,1.2,33.30%,0.2,0.4,50.00%,0.4,0.4,100.00%,0.2,0.2,0.4,0.4,0,0.2,0,1
Li Yueru,"$60,471",--,16,0,5.1,1.8,0.5,1.1,44.40%,0.5,1.1,44.40%,0,0,--,0.8,0.8,100.00%,0.3,1.2,1.5,0.1,0.8,0.1,0.1,0.6
Rae Burrell,"$66,306",Rookie,3,1,14.5,1.7,0.3,3,11.10%,0,1,0.00%,0.3,2,16.70%,0.7,0.7,100.00%,0.3,0.7,1,0.3,0.3,0.7,0,1.3
Jasmine Walker,"$68,552",Rookie,32,1,8.8,1.6,0.6,2.4,25.00%,0.3,0.8,34.60%,0.3,1.6,20.00%,0.1,0.1,100.00%,0.4,1.1,1.5,0.2,0.5,0.2,0.1,0.9
Sydney Colson,"$72,141",UFA,18,0,6.8,1.6,0.6,1.8,31.30%,0.4,1.2,33.30%,0.2,0.6,27.30%,0.3,0.3,100.00%,0.2,0.3,0.4,1,0.4,0.1,0,0.8
Aisha Sheppard,"$63,389",Rookie,23,0,7.6,1.5,0.4,1.8,23.80%,0,0.4,11.10%,0.4,1.4,27.30%,0.3,0.3,75.00%,0.3,0.3,0.6,0.3,0.3,0.2,0,1.1
Kristine Anigwe,"$36,428",UFA,10,1,6.5,1.5,0.5,1,50.00%,0.5,1,50.00%,0,0,--,0.5,1,50.00%,0.5,0.8,1.3,0.2,0.6,0.1,0.2,1.2
Kamiah Smalls,"$4,041",Hardship,3,0,11.3,1.3,0.7,2.7,25.00%,0.7,1.3,50.00%,0,1.3,0.00%,0,0,--,0,1.7,1.7,2,1.3,1.3,0,2
Kierstan Bell,"$66,306",Rookie,21,1,5.8,1.3,0.5,1.6,30.30%,0.3,0.5,63.60%,0.1,1,13.60%,0.2,0.2,100.00%,0.2,0.7,0.9,0.3,0.2,0.1,0.1,0.5
Rennia Davis,"$1,347",Hardship,8,0,5.4,1.3,0.6,1.6,38.50%,0.6,1.4,45.50%,0,0.3,0.00%,0,0,--,0.4,0.6,1,0.1,0.4,0.3,0,0.4
Rennia Davis,"$18,560",Hardship,8,0,5.4,1.3,0.6,1.6,38.50%,0.6,1.4,45.50%,0,0.3,0.00%,0,0,--,0.4,0.6,1,0.1,0.4,0.3,0,0.4
Kiana Williams,"$3,143",UFA,4,0,7.3,1.3,0.5,2,25.00%,0.3,1,25.00%,0.3,1,25.00%,0,0,--,0,0.5,0.5,1.3,0.5,0,0,0.3
Kiana Williams,"$4,041",Hardship,4,0,7.3,1.3,0.5,2,25.00%,0.3,1,25.00%,0.3,1,25.00%,0,0,--,0,0.5,0.5,1.3,0.5,0,0,0.3
Jasmine Dickey,"$60,471",Rookie,20,0,4.7,1.1,0.4,1.7,21.20%,0.3,1.5,20.70%,0.1,0.2,25.00%,0.3,0.5,66.70%,0.3,0.3,0.6,0.1,0.3,0.2,0.1,0.5
Jazmine Jones,"$6,586",ROS,8,0,5.8,0.8,0.3,1,25.00%,0.3,0.6,40.00%,0,0.4,0.00%,0.3,0.6,40.00%,0,0.3,0.3,0.1,0.4,0.3,0,0.6
Jazmine Jones,"$12,573",UFA,8,0,5.8,0.8,0.3,1,25.00%,0.3,0.6,40.00%,0,0.4,0.00%,0.3,0.6,40.00%,0,0.3,0.3,0.1,0.4,0.3,0,0.6
Amy Atwell,"$20,955",Rookie,4,1,7.9,0.8,0.3,2.3,11.10%,0,0.8,0.00%,0.3,1.5,16.70%,0,0,--,0.3,0.3,0.5,0.5,0.5,0,0,0.3
Jazmine Jones,"$2,994",ROS,8,0,5.8,0.8,0.3,1,25.00%,0.3,0.6,40.00%,0,0.4,0.00%,0.3,0.6,40.00%,0,0.3,0.3,0.1,0.4,0.3,0,0.6
Lorela Cubaj,"$63,389",Rookie,11,0,8,0.7,0.4,1.1,33.30%,0.4,1.1,33.30%,0,0,--,0,0,--,0.8,1.3,2.1,0.4,0.5,0,0.2,1.1
Elissa Cunane,"$9,878",Hardship,3,0,3.3,0.7,0.3,0.7,50.00%,0.3,0.3,100.00%,0,0.3,0.00%,0,0,--,0.7,1,1.7,0,0.3,0,0,0.3
Sam Thomas,"$60,471",UFA,24,0,4.9,0.4,0.2,0.8,21.10%,0.1,0.2,75.00%,0,0.6,6.70%,0,0,100.00%,0.1,0.1,0.2,0.3,0.2,0.3,0.1,0.5
Kaila Charles,"$1,796",Hardship,1,0,2,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,0,1
Tina Krajisnik,"$8,532",Hardship,2,0,2.7,0,0,0.5,0.00%,0,0.5,0.00%,0,0,--,0,0,--,0,0,0,1,0,0.5,0,1
Kaila Charles,$898,Hardship,1,0,2,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,0,0,0,0,1
Hannah Sjerven,"$4,490",Hardship,3,0,3,0,0,0.3,0.00%,0,0.3,0.00%,0,0,--,0,0,--,0,0,0,0,0,0,0.3,0.7
Raina Perez,"$2,245",Hardship,1,0,2.3,0,0,0,--,0,0,--,0,0,--,0,0,--,0,0,0,1,0,0,0,0
Brittney Griner,"$227,900",--,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kia Nurse,"$73,542",RFA,0,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,
