"Player","Salary","SimpPos","Position","Age","TeamAbb","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","League","ORACLE1","ORACLE2","SRS_0","SRS_MCAR","SRS_MAR"
"Louis King",307089,"F","PF",23,"PHI",1,0,29,8,13,0.615,4,8,0.5,4,5,0.8,0,1,0,2,2,4,2,1,0,2,4,20,"NBA",0,1,1,NA,1
"Tyler Dorsey",201802,"F","SF",26,"DAL",3,0,2.7,1.3,1.7,0.8,0.3,0.7,0.5,1,1,1,0,0,NA,0.3,0.3,0.7,0,0,0,0,0,3,"NBA",1,1,1,1,1
"Braxton Key",201802,"F","SF",25,"DET",3,0,3,0.3,0.3,1,0,0,NA,0.3,0.3,1,0.7,0.7,1,0,0.3,0.3,0,0,0,0,0,1.3,"NBA",1,1,1,1,1
"Alize Johnson",192293,"F","PF",26,"SAS",4,0,7.5,0.8,1.5,0.5,0,0.5,0,0.8,1,0.75,0.3,0.5,0.5,0.5,2,2.5,0.3,0.3,0,1,0.8,1.8,"NBA",1,1,1,1,1
"Lester Quinones",129405,"G","SG",22,"GSW",4,0,4.5,0.5,1.3,0.4,0.5,1,0.5,0,0.3,0,1,1.5,0.667,0.3,0.5,0.8,0.5,0.3,0,1.3,0,2.5,"NBA",1,1,1,1,1
"Xavier Moon",116986,"G","SG",28,"LAC",4,0,5,0.8,2.3,0.333,0.3,0.8,0.333,0.5,1.5,0.333,0,0,NA,0,0.8,0.8,1.3,0,0,0.3,0.5,1.8,"NBA",1,1,1,1,1
"Xavier Sneed",102910,"F","SF",25,"CHO",4,0,12,1.3,2.5,0.5,0.8,1.5,0.5,0.5,1,0.5,1,1,1,0,1.3,1.3,1.3,0,0.3,0.8,1.8,4.3,"NBA",1,1,1,NA,1
"Stanley Umude",58493,"G","SG",23,"DET",1,0,2,0,1,0,0,1,0,0,0,NA,2,2,1,0,0,0,0,1,1,0,0,2,"NBA",1,1,1,1,1
"Allie Quigley",135000,"G","G",36,"CHI",34,34,26.3,3.8,8.9,0.428,1.5,4.1,0.355,2.4,4.8,0.491,2.2,2.4,0.95,0.5,2,2.5,2.9,0.7,0.2,1.3,1.5,11.4,"WNBA",1,1,1,NA,1
"Amy Atwell",20955,"F","F",24,"LAS",4,1,7.9,0.3,2.3,0.111,0.3,1.5,0.167,0,0.8,0,0,0,NA,0.3,0.3,0.5,0.5,0,0,0.5,0.3,0.8,"WNBA",1,1,1,1,1
"Angel McCoughtry",69000,"F","F-G",36,"MIN",2,2,9.9,1.5,4,0.375,0,0.5,0,1.5,3.5,0.429,3,3,1,0,3,3,1,0.5,1,1.5,1.5,6,"WNBA",1,1,1,1,1
"Azurá Stevens",140000,"F","F-C",26,"CHI",35,8,21.9,4.3,9.1,0.472,1.2,3.3,0.362,3.1,5.8,0.535,0.8,1.1,0.744,0.6,3.3,3.9,0.8,0.5,1.1,0.7,1.7,10.6,"WNBA",1,1,1,1,1
"Breanna Stewart",228094,"F","F",28,"SEA",34,34,30.9,7.5,15.9,0.472,2,5.2,0.379,5.5,10.7,0.518,4.8,5.8,0.837,1.4,6.2,7.6,2.9,1.6,0.9,1.3,2.1,21.8,"WNBA",1,1,1,1,1
"Brittney Sykes",113300,"G","G",28,"LAS",32,24,28.8,4.8,11,0.433,0.4,1.6,0.269,4.3,9.3,0.462,2.7,3.5,0.77,0.7,2.9,3.7,3.7,2,0.7,2.6,2.6,12.7,"WNBA",0,1,1,NA,1
"Charli Collier",71441,"F","F-C",23,"DAL",17,0,4.6,0.7,1.6,0.444,0,0.1,0,0.7,1.5,0.48,0.6,0.8,0.714,0.2,0.4,0.6,0.1,0.1,0,0.6,1.1,2,"WNBA",0,1,1,NA,1
"DeWanna Bonner",227900,"F","F",35,"CON",33,33,30,4.7,10.8,0.439,1.4,4.2,0.329,3.3,6.5,0.512,2.6,3.2,0.827,0.8,4,4.7,2.8,1.2,0.3,1.6,1.8,13.5,"WNBA",0,1,1,1,1
"Destanni Henderson",63389,"G","G",23,"IND",36,5,16.4,2,4.9,0.401,0.7,2,0.366,1.3,2.9,0.425,0.6,0.9,0.719,0.8,0.8,1.6,2.5,0.8,0.1,1.7,0.9,5.3,"WNBA",1,1,1,1,1
"Destiny Slocum",4041,"G","G",25,"ATL",3,0,13.7,1.3,3.7,0.364,1,3,0.333,0.3,0.7,0.5,1,1.7,0.6,0,1.3,1.3,1.3,0,0,1.7,1.3,4.7,"WNBA",1,1,1,NA,1
"Epiphanny Prince",115000,"G","G",34,"SEA",33,0,12.3,1.3,3.8,0.355,0.6,1.8,0.356,0.7,2,0.354,0.6,0.8,0.84,0.2,0.8,1,1.8,0.6,0.1,0.5,0.9,3.9,"WNBA",1,1,1,1,NA
"Ezi Magbegor",60471,"C","C",23,"SEA",33,23,24.7,4,7.3,0.55,0.3,0.9,0.345,3.7,6.5,0.577,1.2,1.6,0.736,1.6,4,5.6,1.4,0.9,1.8,1.4,2.9,9.5,"WNBA",1,1,1,NA,1
"Gabby Williams",144000,"F","F",26,"SEA",36,36,25.6,3,6.8,0.444,0.5,1.9,0.257,2.5,4.8,0.52,1,1.3,0.778,1.2,3.8,5,3.1,1.5,0.4,1.4,1.6,7.5,"WNBA",1,1,1,NA,1
"Iliana Rupert",37420,"C","C",21,"LVA",17,0,13.1,1.5,3.2,0.463,0.8,2.2,0.368,0.6,0.9,0.688,0.1,0.2,0.333,0.6,1.6,2.3,0.9,0.4,0,0.5,2.1,3.8,"WNBA",1,1,1,1,1
"Jackie Young",72141,"F","F",25,"LVA",34,34,33.2,5.6,11.8,0.476,1.5,3.4,0.431,4.1,8.4,0.495,3.2,3.8,0.859,1.3,3.1,4.4,3.9,1.4,0.2,1.3,2.4,15.9,"WNBA",0,1,1,1,NA
"Jasmine Thomas",190000,"G","G",33,"CON",5,5,21.8,1.6,6,0.267,1,2.6,0.385,0.6,3.4,0.176,2.4,2.6,0.923,0.4,1.8,2.2,3,0.6,0.2,1.4,1.4,6.6,"WNBA",1,1,1,1,1
"Jocelyn Willoughby",70127,"F","F-G",24,"NYL",11,4,11,1,2.4,0.423,0.3,1,0.273,0.7,1.4,0.533,0.4,0.7,0.5,0.2,1.5,1.6,0.4,0.5,0.2,0.8,0.7,2.6,"WNBA",1,1,1,NA,1
"Jonquel Jones",205000,"C","C",28,"CON",33,32,26.4,5.3,10.4,0.513,1.2,3.4,0.369,4.1,7,0.582,2.7,3.4,0.802,2.6,6,8.6,1.8,1.1,1.2,2.6,2.7,14.6,"WNBA",1,1,1,1,1
"Kamiah Smalls",4041,"G","G",24,"MIN",3,0,11.3,0.7,2.7,0.25,0,1.3,0,0.7,1.3,0.5,0,0,NA,0,1.7,1.7,2,1.3,0,1.3,2,1.3,"WNBA",1,1,1,1,1
"Kayla McBride",196267,"G","G",30,"MIN",31,31,29.8,4.4,10.9,0.405,1.5,4.3,0.356,2.9,6.6,0.437,2.9,3.2,0.909,0.5,2.3,2.8,2.1,1,0.1,1.5,1.4,13.3,"WNBA",1,1,1,1,1
"Kiana Williams",7184,"G","G",23,"SEA/CON",4,0,7.3,0.5,2,0.25,0.3,1,0.25,0.3,1,0.25,0,0,NA,0,0.5,0.5,1.3,0,0,0.5,0.3,1.3,"WNBA",1,1,1,1,1
"Kristy Wallace",63389,"G","G",26,"ATL",29,18,20.8,2.3,5.6,0.407,0.9,2.3,0.368,1.4,3.2,0.436,1.1,1.4,0.786,0.6,1.7,2.3,2.2,0.6,0.2,1.5,2,6.6,"WNBA",1,1,1,1,1
"Li Yueru",60471,"C","C",23,"CHI",16,0,5.1,0.5,1.1,0.444,0,0,NA,0.5,1.1,0.444,0.8,0.8,1,0.3,1.2,1.5,0.1,0.1,0.1,0.8,0.6,1.8,"WNBA",1,1,1,NA,1
"Lindsay Allen",12856,"G","G",27,"MIN",9,0,14.8,2.2,4.2,0.526,0.9,1.6,0.571,1.3,2.7,0.5,1.3,1.4,0.923,0,1.6,1.6,3.4,0.2,0,0.8,1.2,6.7,"WNBA",1,1,1,1,1
"Marina Mabrey",72141,"G","G",26,"DAL",34,32,28,5.2,12.5,0.42,1.8,5.1,0.351,3.4,7.4,0.468,1.4,2,0.681,0.6,3.1,3.6,3.7,0.8,0.4,2.4,2.5,13.6,"WNBA",0,1,1,1,1
"Marine Johannes",40713,"G","G",27,"NYL",24,10,25.5,3.5,7.5,0.464,2.3,5.3,0.437,1.2,2.2,0.528,0.8,1,0.87,0.2,1.5,1.7,3.4,0.6,0.1,1.8,1.6,10,"WNBA",1,1,1,1,1
"Maya Caldwell",9429,"G","G",23,"ATL",9,7,23.7,4.2,8.2,0.514,2,3.6,0.563,2.2,4.7,0.476,0.4,0.6,0.8,0.6,1.9,2.4,2.2,0.8,0.2,1.6,1.7,10.9,"WNBA",1,1,1,NA,1
"Mercedes Russell",160000,"C","C",27,"SEA",5,0,10.7,0.8,1.6,0.5,0,0,NA,0.8,1.6,0.5,0.4,0.6,0.667,0.4,1.4,1.8,0.2,0,0,1.4,1.4,2,"WNBA",1,1,1,NA,1
"Nia Coffey",130000,"F","F",27,"ATL",16,16,21,2.2,6.3,0.347,0.6,1.9,0.29,1.6,4.4,0.371,1.4,1.9,0.742,0.4,4.8,5.2,0.8,0.6,0.1,2.2,2.2,6.4,"WNBA",1,1,1,1,1
"Olivia Nelson-Ododa",63389,"C","C",22,"LAS",30,6,14.5,1.6,2.8,0.56,0,0,NA,1.6,2.8,0.56,0.9,1.2,0.703,1.1,1.8,2.9,0.4,0.3,0.8,1,2.6,4,"WNBA",0,1,1,1,1
"Rennia Davis",19907,"F","F",23,"IND/MIN",8,0,5.4,0.6,1.6,0.385,0,0.3,0,0.6,1.4,0.455,0,0,NA,0.4,0.6,1,0.1,0.3,0,0.4,0.4,1.3,"WNBA",0,1,1,1,1
"Reshanda Gray",71427,"F","F",29,"SEA/PHO",27,0,8.8,0.9,2.1,0.439,0.1,0.5,0.214,0.8,1.6,0.512,0.2,0.3,0.667,0.6,1.4,2,0.4,0.3,0.2,1,2.1,2.2,"WNBA",1,1,1,1,1
"Riquna Williams",145000,"G","G",32,"LVA",21,0,18,2.1,5.6,0.381,1.6,4.4,0.366,0.5,1.2,0.44,0.8,1,0.762,0.2,1.8,2,1.2,0.4,0.1,0.3,1.7,6.7,"WNBA",1,1,1,1,1
"Ruthy Hebard",73211,"F","F",24,"CHI",24,0,9.7,1,2,0.51,0,0,NA,1,2,0.51,0.3,0.3,0.75,0.3,1.4,1.7,0.5,0.3,0.1,0.5,1.2,2.3,"WNBA",1,1,1,1,1
"Sami Whitcomb",150350,"G","G",34,"NYL",35,6,21.3,2.1,5.7,0.368,1.7,4.8,0.351,0.4,0.9,0.455,0.6,0.7,0.87,0.3,2.1,2.3,2.3,0.7,0.1,1.4,1.6,6.5,"WNBA",1,1,1,1,1
"Skylar Diggins-Smith",227900,"G","G",32,"PHO",30,30,34,6.9,16.2,0.429,1.3,4.5,0.296,5.6,11.7,0.48,4.5,5.3,0.844,0.9,3.1,4,5.5,1.5,1,2.7,2.7,19.7,"WNBA",0,1,1,1,1
"Sydney Colson",72141,"G","G",33,"LVA",18,0,6.8,0.6,1.8,0.313,0.2,0.6,0.273,0.4,1.2,0.333,0.3,0.3,1,0.2,0.3,0.4,1,0.1,0,0.4,0.8,1.6,"WNBA",1,1,1,1,NA
"Sylvia Fowles",2e+05,"C","C",37,"MIN",30,30,27.7,6.1,9.9,0.622,0,0,NA,6.1,9.9,0.622,2.1,3.2,0.66,2.5,7.3,9.8,1.2,1,1.2,2.1,2.4,14.4,"WNBA",0,1,1,NA,1
"Tiffany Hayes",215000,"G","G",33,"ATL",12,11,25.2,5.5,10.1,0.545,1.5,3.5,0.429,4,6.6,0.608,2.3,3.4,0.683,0.3,3.1,3.3,1.9,0.7,0.1,1.8,2.8,14.8,"WNBA",1,1,1,1,1
"Tiffany Mitchell",148400,"F","F",28,"IND",34,8,16.3,2.4,5.4,0.451,0.4,0.9,0.387,2.1,4.4,0.464,1.3,1.5,0.865,0.6,0.6,1.2,1.2,0.8,0.1,0.9,1.4,6.5,"WNBA",1,1,1,NA,1
"Veronica Burton",69224,"G","G",22,"DAL",36,6,15.2,0.7,2.1,0.329,0.3,1.2,0.279,0.4,0.9,0.394,0.9,0.9,1,0.5,1,1.5,1.9,0.9,0.3,1,1.4,2.6,"WNBA",1,1,1,1,1
