"Player","Salary","SimpPos","Position","Age","TeamAbb","GP","GS","MP","FG","FGA","FGP","X3P","X3PA","X3PP","X2P","X2PA","X2PP","FT","FTA","FTP","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","League","ORACLE1","ORACLE2","SRS_0","SRS_MCAR","SRS_MAR"
"Terrence Ross",11500000,"G","SG",31,"ORL/PHO",63,9,21.1,3.2,7.4,0.43,1.5,4.1,0.368,1.7,3.3,0.507,0.4,0.5,0.794,0.3,2.1,2.4,1.5,0.6,0.2,0.7,1.5,8.3,"NBA",1,0,1,1,1
"Reggie Jackson",11457217,"G","PG",32,"DEN/LAC",68,40,24.4,3.9,9.4,0.411,1.4,4.2,0.333,2.5,5.2,0.474,1,1.1,0.91,0.4,1.8,2.1,3.4,0.7,0.1,1.7,1.7,10.2,"NBA",1,0,1,NA,NA
"Anthony Edwards",10733400,"G","SG",21,"MIN",79,79,36,8.9,19.5,0.459,2.7,7.3,0.369,6.3,12.2,0.513,4,5.3,0.756,0.6,5.2,5.8,4.4,1.6,0.7,3.3,2.4,24.6,"NBA",1,0,1,1,NA
"Reggie Bullock",10012800,"F","SF",31,"DAL",78,55,30.3,2.5,6,0.409,1.9,5.1,0.38,0.5,0.9,0.562,0.3,0.5,0.703,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2,"NBA",0,0,1,1,NA
"James Wiseman",9603360,"C","C",21,"GSW/DET",45,22,19.3,4.2,7.5,0.558,0.1,0.4,0.2,4.1,7.1,0.58,1.5,2.2,0.701,1.6,4.3,5.9,0.7,0.2,0.6,1.1,2.4,10,"NBA",1,0,1,1,NA
"Nerlens Noel",9391069,"C","C",28,"BRK/DET",17,4,11.5,0.8,2.1,0.361,0.1,0.1,0.5,0.7,2,0.353,0.5,0.7,0.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1,"NBA",1,1,1,NA,1
"Maxi Kleber",9e+06,"F","PF",31,"DAL",37,5,25.1,2.1,4.6,0.456,1.1,3,0.348,1,1.5,0.667,0.7,1,0.711,0.8,2.8,3.6,1.4,0.3,0.8,0.7,2.3,5.9,"NBA",0,1,1,1,1
"Daniel Theis",8694369,"C","C",30,"IND",7,1,15.6,3,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,0.7,1.7,0.417,1,2.1,3.1,1.3,0.3,0.9,0.4,1,7,"NBA",1,1,1,1,NA
"Evan Mobley",8478720,"F","PF",21,"CLE",79,79,34.4,6.6,12,0.554,0.3,1.3,0.216,6.4,10.7,0.595,2.6,3.8,0.674,2.4,6.6,9,2.8,0.8,1.5,1.8,2.8,16.2,"NBA",1,1,1,1,NA
"Gary Payton II",8300000,"G","SG",30,"GSW/POR",22,1,16.7,1.9,3.1,0.594,0.6,1.2,0.5,1.3,2,0.651,0.3,0.3,0.857,1.1,2,3.1,1.4,1,0.2,0.7,2,4.6,"NBA",1,1,1,1,1
"Dewayne Dedmon",8283688,"C","C",33,"PHI/MIA",38,1,11.2,2,4,0.51,0.3,1,0.308,1.7,2.9,0.58,0.9,1.3,0.673,0.9,2.6,3.5,0.7,0.2,0.5,0.7,2,5.2,"NBA",0,1,1,1,1
"Taurean Prince",7100000,"F","PF",28,"MIN",54,4,22.1,3.3,7,0.467,1.4,3.6,0.381,1.9,3.4,0.557,1.2,1.4,0.844,0.3,2.2,2.4,1.6,0.5,0.3,1.3,2.3,9.1,"NBA",1,1,1,NA,1
"Cody Martin",7e+06,"F","SF",27,"CHO",7,0,19.1,2,5.1,0.389,0.4,2,0.214,1.6,3.1,0.5,0.6,1,0.571,1.1,2.3,3.4,1.6,0.6,0.1,0.3,1.9,5,"NBA",1,1,1,NA,NA
"Khem Birch",6667500,"C","C",30,"TOR",20,0,8.1,1,1.6,0.594,0.1,0.1,0.5,0.9,1.5,0.6,0.2,0.3,0.8,0.4,0.9,1.3,0.4,0.3,0.3,0.4,1.2,2.2,"NBA",1,1,1,1,NA
"Caleb Martin",6479000,"F","SF",27,"MIA",71,49,29.3,3.6,7.7,0.464,1.2,3.3,0.356,2.4,4.4,0.545,1.3,1.6,0.805,1.2,3.6,4.8,1.6,1,0.4,1.1,2,9.6,"NBA",0,1,1,1,1
"Onyeka Okongwu",6395160,"C","C",22,"ATL",80,18,23.1,4,6.2,0.638,0.1,0.2,0.308,3.9,6.1,0.647,1.9,2.5,0.781,2.7,4.5,7.2,1,0.7,1.3,1,3.1,9.9,"NBA",1,1,1,1,1
"Ricky Rubio",5853659,"G","PG",32,"CLE",33,2,17.2,1.8,5.4,0.343,0.6,2.5,0.256,1.2,2.9,0.417,0.8,1.1,0.8,0.3,1.8,2.1,3.5,0.8,0.2,0.9,1.5,5.2,"NBA",1,1,1,1,NA
"Killian Hayes",5837760,"G","PG",21,"DET",76,56,28.3,4,10.7,0.377,1.1,3.8,0.28,3,7,0.429,1.2,1.5,0.821,0.4,2.5,2.9,6.2,1.4,0.4,2.3,2.9,10.3,"NBA",1,1,1,NA,1
"Pat Connaughton",5728393,"F","SF",30,"MIL",61,33,23.7,2.7,6.9,0.392,1.8,5.3,0.339,0.9,1.6,0.566,0.4,0.7,0.659,0.8,3.8,4.6,1.3,0.6,0.2,0.5,1.1,7.6,"NBA",0,1,1,1,NA
"JaVale McGee",5461219,"C","C",35,"DAL",42,7,8.5,1.9,3,0.64,0,0.1,0.4,1.9,2.9,0.65,0.6,1,0.585,0.7,1.8,2.5,0.3,0.1,0.6,0.9,1.3,4.4,"NBA",1,1,1,1,1
"Goga Bitadze",5377520,"C","C",23,"ORL/IND",38,1,12,1.8,3.3,0.552,0.2,0.7,0.231,1.7,2.6,0.636,0.6,1.1,0.548,1.6,2,3.6,1,0.4,0.7,0.6,1.7,4.4,"NBA",1,1,1,NA,1
"Garrett Temple",5155500,"G","SG",36,"NOP",25,0,6.5,0.7,1.8,0.4,0.4,1,0.423,0.3,0.8,0.368,0.1,0.2,0.75,0.2,0.5,0.7,0.5,0.4,0.1,0.2,0.6,2,"NBA",0,1,1,1,NA
"Donte DiVincenzo",4500000,"G","SG",26,"GSW",72,36,26.3,3.3,7.5,0.435,2.1,5.3,0.397,1.2,2.3,0.525,0.8,1,0.817,1.1,3.4,4.5,3.5,1.3,0.1,1.6,1.8,9.4,"NBA",0,1,1,1,1
"James Bouknight",4362240,"G","SG",22,"CHO",34,0,15.1,2,5.7,0.358,1,3.2,0.303,1.1,2.5,0.429,0.6,0.9,0.667,0.2,1.9,2.1,1.2,0.4,0.1,0.9,1.4,5.6,"NBA",1,1,1,1,1
"Jalen Williams",4341480,"G","SG",21,"OKC",75,62,30.3,5.5,10.6,0.521,1,2.7,0.356,4.5,7.9,0.579,2.1,2.5,0.812,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5,14.1,"NBA",1,1,1,1,1
"Grant Williams",4306281,"F","PF",24,"BOS",79,23,25.9,2.7,6,0.454,1.5,3.7,0.395,1.3,2.3,0.546,1.2,1.5,0.77,1.1,3.5,4.6,1.7,0.5,0.4,1,2.4,8.1,"NBA",1,1,1,1,1
"Darius Bazley",4264628,"C","C",22,"OKC/PHO",43,1,14.3,1.9,4.3,0.454,0.5,1.2,0.377,1.5,3,0.485,0.9,1.6,0.543,0.8,2.4,3.2,0.9,0.5,0.8,0.6,1,5.2,"NBA",1,1,1,1,1
