"","year","langcode","language","total","percent","rankinyear"
"91",1990,32,"Romany, Gypsy",260,2.93800946920452e-05,55
"92",1990,33,"Finnish",1163,0.000131419423564802,42
"93",1990,34,"Magyar, Hungarian",10430,0.00117859379860781,22
"94",1990,35,"Uralic",242,2.73460881364421e-05,56
"95",1990,36,"Turkish",1938,0.000218994705819937,36
"96",1990,37,"Other Altaic",65,7.3450236730113e-06,66
"97",1990,38,"Caucasian, Georgian, Avar",31,3.50301129020539e-06,70
"98",1990,39,"Basque",55,6.21502003100956e-06,68
"99",1990,40,"Dravidian",3073,0.000347250119187134,31
"100",1990,43,"Chinese",199795,0.0225769077653737,3
"101",1990,44,"Tibetan",314,3.54821143588546e-05,53
"102",1990,45,"Burmese, Lisu, Lolo",1607,0.000181591585269679,40
"103",1990,47,"Thai, Siamese, Lao",19639,0.00221921415252721,16
"104",1990,48,"Japanese",63158,0.00713687700215457,7
"105",1990,49,"Korean",123565,0.0139628900023945,5
"106",1990,50,"Vietnamese",49699,0.00561600510038443,8
"107",1990,51,"Other East/Southeast Asian",24963,0.00282082809152893,15
"108",1990,52,"Indonesian",6135,0.000693257234368066,28
"109",1990,53,"Other Malayan",9988,0.00112864763763133,23
"110",1990,54,"Filipino, Tagalog",161552,0.0182554348372665,4
"111",1990,55,"Micronesian, Polynesian",9921,0.00112107661322992,24
"112",1990,56,"Hawaiian",798,9.01742906317387e-05,46
"113",1990,57,"Arabic",28604,0.00323226241758177,13
"114",1990,58,"Near East Arabic dialect",1935,0.000218655704727336,37
"115",1990,59,"Hebrew, Israeli",18866,0.00213186487100047,17
"116",1990,60,"Amharic, Ethiopian, etc.",2869,0.000324198044890299,34
"117",1990,61,"Hamitic",112,1.26560407904195e-05,61
"118",1990,63,"Sub-Saharan Africa",4621,0.000522174682969003,30
"119",1990,64,"African, n.s.",503,5.68391831926874e-05,50
"120",1990,71,"Aleut, Eskimo",21,2.37300764820365e-06,72
"121",1990,72,"Algonquian",77,8.70102804341338e-06,65
"122",1990,74,"Athapascan",52,5.87601893840904e-06,69
"123",1990,75,"Navajo",604,6.8252219976905e-05,48
"124",1990,81,"Siouan languages",78,8.81402840761356e-06,64
"125",1990,82,"Muskogean",145,1.63850528090252e-05,58
"126",1990,84,"Iroquoian",125,1.41250455250217e-05,59
"127",1990,86,"Shoshonean/Hopi",83,9.37903022861443e-06,63
