RK,NAME,TEAM,POS,GP,YDS,TD,INT,YDS,TD,REC,YDS,TD,SCK,INT,FF,FR,FPTS/G,FPTS
29,Trevor Lawrence,JAX,QB,16,4016,21,14,339,4,0,0,0,0,0,0,0,16.4,262.5
30,Nico Collins,HOU,WR,15,0,0,0,7,0,80,1297,8,0,0,1,0,17.4,260.4
31,Sam Howell,WAS,QB,17,3946,21,21,263,5,1,4,0,0,0,0,0,15.1,257.5
32,Russell Wilson,DEN,QB,15,3070,26,8,341,3,0,0,0,0,0,0,0,17.1,256.9
33,Kyren Williams,LAR,RB,12,0,0,0,1144,12,32,206,3,0,0,0,0,21.2,255.0
34,Michael Pittman Jr.,IND,WR,16,0,0,0,0,0,109,1152,4,0,0,0,0,15.6,250.2
35,Brandon Aiyuk,SF,WR,16,0,0,0,0,0,75,1342,7,0,0,0,0,15.6,249.2
36,Derrick Henry,TEN,RB,17,14,2,0,1167,12,28,214,0,0,0,0,0,14.5,246.7
37,Bijan Robinson,ATL,RB,17,0,0,0,976,4,58,487,4,0,0,0,0,14.5,246.3
38,Deebo Samuel Sr.,SF,WR,15,0,0,0,225,5,60,892,7,0,0,0,0,16.2,243.7
39,Matthew Stafford,LAR,QB,15,3965,24,11,65,0,0,0,0,0,0,0,0,16.2,243.1
40,Jahmyr Gibbs,DET,RB,15,0,0,0,945,10,52,316,1,0,0,0,0,16.1,242.1
41,Derek Carr,NO,QB,17,3878,25,8,40,0,0,0,0,0,0,0,0,14.2,241.1
42,Sam LaPorta,DET,TE,17,0,0,0,4,0,86,889,10,0,0,0,0,14.1,239.3
43,Justin Herbert,LAC,QB,13,3134,20,7,228,3,1,10,0,0,0,0,0,18.0,234.2
44,Alvin Kamara,NO,RB,13,0,0,0,694,5,75,466,1,0,0,0,0,17.9,233.0
45,James Cook,BUF,RB,17,0,0,0,1122,2,44,445,4,0,0,0,0,13.7,232.7
46,Chris Olave,NO,WR,16,0,0,0,0,0,87,1123,5,0,0,0,0,14.5,231.3
47,Adam Thielen,CAR,WR,17,0,0,0,6,0,103,1014,4,0,0,0,0,13.6,231.0
48,Evan Engram,JAX,TE,17,0,0,0,0,0,114,963,4,0,0,0,0,13.5,230.3
49,Justin Fields,CHI,QB,13,2562,16,9,657,4,0,0,0,0,0,0,0,17.7,230.2
50,Calvin Ridley,JAX,WR,17,0,0,0,23,0,76,1016,8,0,0,0,0,13.5,229.9
